,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
,Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
0,Christian Benteke,20.0,be BEL,FW,30-144,90,2,2,0,2,0,0,1,0.0,1,0,0,0,0,2,0,0
1,Wilfried Zaha,11.0,ci CIV,LW,28-167,90,3,2,1,2,0,2,3,66.7,1,1,0,1,1,4,1,0
2,Jordan Ayew,9.0,gh GHA,RW,29-227,77,1,1,0,1,0,1,2,50.0,1,4,0,4,1,2,0,0
3,Andros Townsend,10.0,eng ENG,RW,29-284,13,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
4,Eberechi Eze,25.0,eng ENG,LM,22-301,90,0,0,0,0,0,0,0,,0,0,0,0,3,3,0,0
5,Luka Milivojević,4.0,rs SRB,CM,30-019,82,2,0,2,0,0,2,2,100.0,0,1,0,1,1,3,4,0
6,James McCarthy,22.0,ie IRL,CM,30-165,8,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
7,Jaïro Riedewald,44.0,nl NED,RM,24-229,84,1,1,0,1,0,1,2,50.0,1,1,0,1,4,5,0,0
8,Jeffrey Schlupp,15.0,gh GHA,RM,28-124,6,1,0,1,0,0,0,0,,0,0,0,0,0,1,0,0
9,Patrick van Aanholt,3.0,nl NED,LB,30-240,90,0,0,0,0,0,0,1,0.0,1,2,1,1,3,3,3,0
10,Scott Dann,6.0,eng ENG,CB,34-071,90,0,0,0,0,0,0,1,0.0,1,1,1,0,1,1,2,0
11,Cheikhou Kouyaté,8.0,sn SEN,CB,31-126,90,1,1,1,0,0,1,2,50.0,1,0,0,0,3,4,3,0
12,Joel Ward,2.0,eng ENG,RB,31-179,90,2,1,1,1,0,1,1,100.0,0,1,0,1,1,3,4,0
13,Vicente Guaita,31.0,es ESP,GK,34-106,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
14,14 Players,,,,,990,13,8,6,7,0,8,15,53.3,7,12,2,10,18,31,17,0
