,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
,Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,Cody Gakpo,18.0,nl NED,"FW,LW",23-329,81,0,0,0,0,3,2,0,0,0,0,0,0,1,0,1,0.0
1,James Milner,7.0,eng ENG,LM,37-087,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,Diogo Jota,20.0,pt POR,LW,26-118,69,0,0,0,0,2,1,0,1,0,0,0,0,6,1,0,100.0
3,Roberto Firmino,9.0,br BRA,"AM,FW",31-181,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,Mohamed Salah,11.0,eg EGY,RW,30-290,69,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,
5,Darwin Núñez,27.0,uy URU,"FW,LW",23-281,21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
6,Jordan Henderson,14.0,eng ENG,"LM,DM,CM",32-288,90,0,0,0,2,0,0,0,2,1,0,0,0,5,1,0,100.0
7,Fabinho,3.0,br BRA,"CM,DM,RM",29-160,90,0,0,0,2,0,0,0,1,1,0,0,0,6,0,0,
8,Harvey Elliott,19.0,eng ENG,RM,19-362,69,0,0,0,0,1,0,0,1,0,0,0,0,5,0,0,
9,Alex Oxlade-Chamberlain,15.0,eng ENG,RW,29-229,21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
10,Andrew Robertson,26.0,sct SCO,LB,29-021,69,0,0,0,2,0,0,3,0,2,0,0,0,4,0,0,
11,Kostas Tsimikas,21.0,gr GRE,LB,26-324,21,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,
12,Virgil van Dijk,4.0,nl NED,CB,31-267,90,0,0,0,0,0,0,0,1,3,0,0,0,3,3,0,100.0
13,Ibrahima Konaté,5.0,fr FRA,CB,23-311,90,0,0,0,1,2,0,0,1,0,0,0,0,3,2,0,100.0
14,Trent Alexander-Arnold,66.0,eng ENG,RB,24-176,90,0,0,0,3,0,1,4,2,1,0,0,0,4,0,0,
15,Alisson,1.0,br BRA,GK,30-181,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
16,16 Players,,,,,990,1,0,0,12,9,5,8,9,8,0,0,0,40,7,1,87.5
