,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
,Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,Neal Maupay,9.0,fr FRA,FW,24-155,80,0,0,0,2,0,0,0,0,0,0,0,0,4,0,3,0.0
1,Davy Pröpper,24.0,nl NED,RM,29-136,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,Alexis Mac Allister,10.0,ar ARG,AM,22-023,61,0,0,0,0,1,0,0,0,0,0,0,0,7,0,2,0.0
3,Yves Bissouma,8.0,ml MLI,CM,24-139,29,0,0,0,0,0,0,1,1,0,0,0,0,3,0,0,
4,Leandro Trossard,11.0,be BEL,"AM,RM",26-043,72,0,0,0,1,1,0,3,0,0,0,0,0,4,0,2,0.0
5,Percy Tau,22.0,za RSA,"FW,RM",26-248,18,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0.0
6,Pascal Groß,13.0,de GER,"CM,LM",29-215,90,0,0,0,1,2,0,6,0,2,0,0,0,3,0,1,0.0
7,Ben White,3.0,eng ENG,CM,23-100,90,0,0,0,1,1,0,0,1,0,0,0,0,6,0,0,
8,Solly March,20.0,eng ENG,"WB,LB",26-180,90,0,0,0,2,0,0,1,1,0,0,0,0,5,2,1,66.7
9,Joël Veltman,34.0,nl NED,"WB,RB",29-001,90,0,0,0,0,1,0,2,3,1,0,0,0,6,0,0,
10,Dan Burn,33.0,eng ENG,CB,28-252,90,0,0,0,1,1,0,1,2,0,0,0,0,7,7,4,63.6
11,Lewis Dunk,5.0,eng ENG,CB,29-056,90,0,0,0,0,1,0,0,2,0,0,0,0,7,0,0,
12,Adam Webster,4.0,eng ENG,CB,26-012,90,1,0,0,1,0,0,0,3,0,0,0,0,5,3,0,100.0
13,Robert Sánchez,26.0,es ESP,GK,23-059,90,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0
14,14 Players,,,,,990,1,0,0,9,8,0,14,13,3,0,0,0,60,13,14,48.1
