,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
,Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,Wout Weghorst,27.0,nl NED,FW,30-238,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1,Anthony Martial,9.0,fr FRA,FW,27-118,29,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0.0
2,Marcus Rashford,10.0,eng ENG,"LW,FW",25-153,90,0,0,0,2,0,0,1,0,0,0,0,0,4,0,0,
3,Antony,21.0,br BRA,RW,23-037,61,0,0,0,0,2,0,2,1,1,0,0,0,7,0,0,
4,Jadon Sancho,25.0,eng ENG,"RW,WB",23-008,29,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0.0
5,Bruno Fernandes,8.0,pt POR,"AM,CM",28-206,90,0,0,0,1,0,0,1,2,0,0,0,0,3,0,1,0.0
6,Marcel Sabitzer,15.0,at AUT,"DM,AM",29-016,90,0,0,0,0,3,0,1,1,1,0,0,0,5,0,2,0.0
7,Scott McTominay,39.0,sct SCO,DM,26-115,81,0,0,0,2,1,0,1,1,1,0,0,0,8,2,4,33.3
8,Fred,17.0,br BRA,"CM,DM",30-028,9,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,
9,Luke Shaw,23.0,eng ENG,"LB,CB",27-264,90,0,0,0,2,0,0,4,0,3,0,0,0,6,2,1,66.7
10,Lisandro Martínez,6.0,ar ARG,CB,25-074,82,0,0,0,2,0,0,0,2,3,0,0,0,9,1,1,50.0
11,Facundo Pellistri,28.0,uy URU,"WB,CB",21-103,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
12,Raphaël Varane,19.0,fr FRA,CB,29-342,82,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,100.0
13,Victor Lindelöf,2.0,se SWE,CB,28-259,8,0,0,0,1,1,0,0,1,0,0,0,0,1,1,1,50.0
14,Diogo Dalot,20.0,pt POR,"RB,CB",24-015,90,0,0,0,2,0,0,2,1,1,0,0,0,6,0,1,0.0
15,David de Gea,1.0,es ESP,GK,32-146,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
16,16 Players,,,,,990,0,0,0,12,8,0,12,9,12,0,0,0,59,8,14,36.4
