,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
,Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
0,Dwight Gayle,12.0,eng ENG,FW,30-169,70,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
1,Allan Saint-Maximin,10.0,fr FRA,FW,24-023,20,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
2,Joelinton,9.0,br BRA,FW,24-233,90,2,1,0,1,1,0,3,0.0,3,1,0,1,0,2,0,0
3,Sean Longstaff,36.0,eng ENG,CM,23-156,90,0,0,0,0,0,0,3,0.0,3,2,1,1,0,0,1,0
4,Jonjo Shelvey,8.0,eng ENG,"CM,CB",29-036,90,1,0,0,1,0,1,2,50.0,1,0,0,0,2,3,1,0
5,Miguel Almirón,24.0,py PAR,"CM,RM",27-053,90,0,0,0,0,0,0,2,0.0,2,3,1,2,0,0,1,0
6,Matt Ritchie,11.0,sct SCO,"LB,LM",31-206,90,1,0,0,1,0,0,0,,0,2,0,2,2,3,4,0
7,Paul Dummett,3.0,wls WAL,"CB,LB",29-190,90,1,0,1,0,0,0,0,,0,0,0,0,1,2,2,0
8,Jamaal Lascelles,6.0,eng ENG,CB,27-144,90,1,0,0,1,0,0,1,0.0,1,1,1,0,0,1,5,0
9,Emil Krafth,17.0,se SWE,CB,26-245,78,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,1
10,Joe Willock,28.0,eng ENG,CM,21-227,12,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
11,Jacob Murphy,23.0,eng ENG,RB,26-039,82,5,3,2,3,0,3,6,50.0,3,0,0,0,0,5,0,0
12,Javier Manquillo,19.0,es ESP,RB,26-334,8,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
13,Martin Dúbravka,1.0,sk SVK,GK,32-079,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
14,14 Players,,,,,990,11,4,3,7,1,4,19,21.1,15,10,3,7,5,16,19,1
