,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
,Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
0,Diego Costa,29.0,es ESP,FW,34-085,45,1,0,1,0,0,1,1,100.0,0,1,0,1,1,2,1,0
1,Adama Traoré,37.0,es ESP,RW,26-340,45,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0
2,Daniel Podence,10.0,pt POR,LW,27-071,80,1,0,0,0,1,0,1,0.0,1,0,0,0,1,2,0,0
3,Raúl Jiménez,9.0,mx MEX,LW,31-240,10,0,0,0,0,0,0,0,,0,2,0,2,0,0,0,0
4,Hwang Hee-chan,11.0,kr KOR,"FW,RW",26-339,90,3,2,1,1,1,3,3,100.0,0,2,0,2,1,4,0,0
5,João Moutinho,28.0,pt POR,"AM,RM",36-114,71,1,0,0,1,0,0,0,,0,2,0,2,0,1,0,0
6,Rayan Aït Nouri,3.0,dz ALG,LM,21-208,19,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
7,Matheus Nunes,27.0,pt POR,"DM,LM,CM",24-126,90,3,2,1,1,1,2,3,66.7,1,2,1,1,2,5,1,0
8,Rúben Neves,8.0,pt POR,"CM,DM",25-293,90,2,0,0,1,1,2,2,100.0,0,0,0,0,2,4,1,1
9,Hugo Bueno,64.0,es ESP,LB,20-104,72,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
10,Toti Gomes,24.0,pt POR,CB,23-349,18,1,0,1,0,0,0,0,,0,0,0,0,0,1,0,0
11,Max Kilman,23.0,eng ENG,CB,25-222,90,1,1,1,0,0,1,1,100.0,0,2,2,0,1,2,3,0
12,Nathan Collins,4.0,ie IRL,CB,21-245,90,1,0,1,0,0,1,2,50.0,1,2,2,0,2,3,3,0
13,Nélson Semedo,22.0,pt POR,RB,29-045,64,2,1,1,1,0,2,2,100.0,0,0,0,0,1,3,2,1
14,Jonny Castro,19.0,es ESP,"RM,RB",28-303,26,0,0,0,0,0,0,0,,0,1,0,1,2,2,0,0
15,José Sá,1.0,pt POR,GK,29-348,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
16,16 Players,,,,,990,16,6,7,5,4,12,16,75.0,4,14,5,9,14,30,11,2
