,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
,Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
0,Matheus Cunha,12.0,br BRA,FW,23-267,69,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0
1,Diego Costa,29.0,es ESP,FW,34-134,21,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2,Pablo Sarabia,21.0,es ESP,"LW,AM",30-283,90,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0
3,Adama Traoré,37.0,es ESP,RW,27-024,76,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
4,Raúl Jiménez,9.0,mx MEX,RW,31-289,14,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
5,João Moutinho,28.0,pt POR,"AM,DM",36-163,69,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
6,João Gomes,35.0,br BRA,DM,22-006,21,3,1,1,2,0,1,2,50.0,1,0,0,0,0,3,1,0
7,Matheus Nunes,27.0,pt POR,DM,24-175,60,3,3,1,2,0,0,1,0.0,1,0,0,0,0,3,1,0
8,Daniel Podence,10.0,pt POR,LW,27-120,30,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
9,Rúben Neves,8.0,pt POR,DM,25-342,90,3,3,1,1,1,1,1,100.0,0,2,0,2,1,4,3,0
10,Hugo Bueno,64.0,es ESP,LB,20-153,61,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
11,Rayan Aït Nouri,3.0,dz ALG,LB,21-257,29,3,3,2,1,0,0,0,,0,0,0,0,0,3,0,0
12,Max Kilman,23.0,eng ENG,CB,25-271,90,2,1,2,0,0,1,1,100.0,0,1,1,0,0,2,5,0
13,Craig Dawson,15.0,eng ENG,CB,32-288,90,1,0,1,0,0,0,0,,0,1,1,0,0,1,1,0
14,Nélson Semedo,22.0,pt POR,RB,29-094,90,1,0,1,0,0,1,4,25.0,3,2,1,1,1,2,1,0
15,José Sá,1.0,pt POR,GK,30-032,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
16,16 Players,,,,,990,16,11,9,6,1,4,13,30.8,9,7,3,4,2,18,14,0
