,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
,Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
0,Jarrod Bowen,20.0,eng ENG,"FW,LW,RW",25-132,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
1,Saïd Benrahma,22.0,dz ALG,LW,26-264,80,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0
2,Andriy Yarmolenko,7.0,ua UKR,RW,32-190,10,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0
3,Pablo Fornals,8.0,es ESP,"RW,AM",26-068,90,2,1,0,2,0,1,3,33.3,2,4,0,4,1,3,1,0
4,Manuel Lanzini,10.0,ar ARG,AM,29-075,70,1,1,0,1,0,0,1,0.0,1,0,0,0,0,1,0,0
5,Michail Antonio,9.0,jm JAM,FW,32-034,20,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
6,Declan Rice,41.0,eng ENG,DM,23-107,90,2,1,2,0,0,1,2,50.0,1,0,0,0,1,3,1,0
7,Mark Noble,16.0,eng ENG,DM,34-358,76,3,0,3,0,0,1,2,50.0,1,2,0,2,0,3,1,0
8,Tomáš Souček,28.0,cz CZE,DM,27-063,14,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
9,Ryan Fredericks,24.0,eng ENG,LB,29-203,90,0,0,0,0,0,0,0,,0,0,0,0,2,2,0,0
10,Aaron Cresswell,3.0,eng ENG,CB,32-137,90,0,0,0,0,0,0,1,0.0,1,2,2,0,2,2,0,0
11,Kurt Zouma,4.0,fr FRA,CB,27-186,90,0,0,0,0,0,0,1,0.0,1,1,0,1,1,1,3,0
12,Vladimír Coufal,5.0,cz CZE,RB,29-252,90,1,1,0,0,1,0,3,0.0,3,0,0,0,1,2,3,1
13,Łukasz Fabiański,1.0,pl POL,GK,37-013,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
14,14 Players,,,,,990,11,6,6,4,1,5,15,33.3,10,9,2,7,8,19,9,1
