,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
,Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,Raúl Jiménez,9.0,mx MEX,FW,32-023,90,0,0,0,3,1,0,0,0,0,0,0,0,1,1,3,25.0
1,Hwang Hee-chan,11.0,kr KOR,LW,27-122,66,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,
2,Boubacar Traoré,6.0,ml MLI,LW,21-281,24,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,
3,Adama Traoré,37.0,es ESP,RW,27-123,90,0,0,0,0,1,0,2,0,0,0,0,0,4,4,2,66.7
4,João Gomes,35.0,br BRA,LM,22-105,84,0,0,0,3,0,0,1,0,1,0,0,0,3,1,0,100.0
5,Joseph Hodge,59.0,ie IRL,LM,20-256,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
6,Mario Lemina,5.0,ga GAB,CM,29-269,90,0,0,0,0,0,0,0,0,1,0,0,0,4,1,0,100.0
7,Matheus Nunes,27.0,pt POR,RM,24-274,45,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0.0
8,Rúben Neves,8.0,pt POR,RM,26-076,45,0,0,0,0,0,0,5,0,1,0,0,0,1,0,0,
9,Hugo Bueno,64.0,es ESP,LB,20-252,45,0,0,0,1,0,0,3,0,0,0,0,0,3,1,1,50.0
10,Rayan Aït Nouri,3.0,dz ALG,LB,21-356,45,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,50.0
11,Max Kilman,23.0,eng ENG,CB,26-005,67,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1,50.0
12,Toti Gomes,24.0,pt POR,CB,24-132,23,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,
13,Nathan Collins,4.0,ie IRL,CB,22-028,90,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,66.7
14,Nélson Semedo,22.0,pt POR,RB,29-193,90,0,0,0,2,1,0,3,0,0,0,0,0,3,0,1,0.0
15,José Sá,1.0,pt POR,GK,30-131,90,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,
16,16 Players,,,,,990,0,0,0,11,8,0,15,2,4,0,0,0,34,12,11,52.2
