,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
,Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
0,Ryan Babel,12.0,nl NED,FW,32-136,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
1,Aleksandar Mitrović,9.0,rs SRB,FW,24-230,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
2,Andre-Frank Zambo Anguissa,29.0,cm CMR,CM,23-169,87,2,1,0,1,1,1,2,50.0,1,1,0,1,2,4,2,0
3,Harvey Elliott,56.0,eng ENG,CM,16-030,3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
4,Calum Chambers,5.0,eng ENG,CM,24-104,90,3,0,0,3,0,1,2,50.0,1,0,0,0,3,6,3,0
5,Tom Cairney,10.0,sct SCO,CM,28-104,90,2,2,0,2,0,0,0,,0,0,0,0,0,2,1,0
6,Joe Bryan,23.0,eng ENG,LB,25-229,90,2,1,0,1,1,1,1,100.0,0,0,0,0,0,2,3,0
7,Tim Ream,13.0,us USA,CB,31-211,90,0,0,0,0,0,0,0,,0,0,0,0,1,1,9,0
8,Maxime Le Marchand,20.0,fr FRA,CB,29-205,90,2,1,2,0,0,1,3,33.3,2,2,2,0,1,3,4,0
9,Cyrus Christie,22.0,ie IRL,CB,26-216,90,2,1,2,0,0,1,1,100.0,0,1,0,1,4,6,9,0
10,Ryan Sessegnon,3.0,eng ENG,RB,18-351,81,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,3,1
11,Floyd Ayité,11.0,tg TOG,RB,30-140,9,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
12,Sergio Rico,25.0,es ESP,GK,25-245,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
13,13 Players,,,,,990,13,6,4,7,2,5,10,50.0,5,4,2,2,12,25,36,1
