,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
,Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
0,Jamie Vardy,9.0,eng ENG,FW,34-101,84,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
1,Dennis Praet,26.0,be BEL,FW,26-343,6,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2,Kelechi Iheanacho,14.0,ng NGA,FW,24-201,90,2,1,1,0,1,1,1,100.0,0,1,0,1,0,2,0,0
3,James Maddison,10.0,eng ENG,AM,24-150,71,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0
4,Ayoze Pérez,17.0,es ESP,AM,27-267,19,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0
5,Youri Tielemans,8.0,be BEL,CM,23-350,90,2,1,0,1,1,2,4,50.0,2,0,0,0,0,2,2,0
6,Wilfred Ndidi,25.0,ng NGA,CM,24-127,90,6,5,1,5,0,0,1,0.0,1,1,0,1,3,9,1,0
7,Luke Thomas,33.0,eng ENG,WB,19-316,90,1,0,1,0,0,1,1,100.0,0,2,0,2,4,5,1,0
8,Timothy Castagne,27.0,be BEL,"WB,CB",25-138,90,2,2,1,1,0,0,0,,0,0,0,0,1,3,1,0
9,Çağlar Söyüncü,4.0,tr TUR,CB,24-334,90,2,2,1,1,0,2,2,100.0,0,0,0,0,1,3,0,0
10,Jonny Evans,6.0,nir NIR,CB,33-109,90,2,2,2,0,0,2,2,100.0,0,0,0,0,0,2,1,0
11,Wesley Fofana,3.0,fr FRA,CB,20-126,61,0,0,0,0,0,0,0,,0,1,0,1,3,3,2,0
12,Marc Albrighton,11.0,eng ENG,WB,31-155,29,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
13,Kasper Schmeichel,1.0,dk DEN,GK,34-168,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
14,14 Players,,,,,990,19,15,7,10,2,10,13,76.9,3,5,0,5,12,31,8,0
