,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
,Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
0,Jean-Philippe Mateta,14.0,fr FRA,FW,25-067,62,1,1,1,0,0,0,0,,0,0,0,0,0,1,2,0
1,Odsonne Édouard,22.0,fr FRA,FW,24-230,28,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,0
2,Wilfried Zaha,11.0,ci CIV,LW,29-297,90,2,0,0,1,1,1,2,50.0,1,1,0,1,1,3,1,0
3,Jordan Ayew,9.0,gh GHA,"RW,RM",30-357,90,5,2,3,2,0,1,2,50.0,1,0,0,0,0,5,0,0
4,Jeffrey Schlupp,15.0,gh GHA,LM,29-254,90,2,2,0,2,0,0,0,,0,1,0,1,0,2,2,0
5,Cheick Doucouré,28.0,ml MLI,CM,22-238,90,5,5,4,0,1,2,3,66.7,1,5,3,2,3,8,1,0
6,Eberechi Eze,10.0,eng ENG,RM,24-066,61,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0
7,Michael Olise,7.0,fr FRA,RW,20-265,29,3,3,3,0,0,2,2,100.0,0,1,0,1,1,4,0,0
8,Tyrick Mitchell,3.0,eng ENG,LB,23-002,62,1,0,1,0,0,1,2,50.0,1,2,1,1,2,3,2,0
9,Nathaniel Clyne,17.0,eng ENG,LB,31-151,28,0,0,0,0,0,0,0,,0,2,1,1,1,1,0,0
10,Marc Guéhi,6.0,eng ENG,CB,22-052,90,0,0,0,0,0,0,0,,0,3,3,0,1,1,7,0
11,Joachim Andersen,16.0,dk DEN,CB,26-095,90,1,1,1,0,0,1,1,100.0,0,4,2,2,3,4,18,0
12,Joel Ward,2.0,eng ENG,RB,32-309,90,2,2,2,0,0,2,2,100.0,0,0,0,0,1,3,3,0
13,Vicente Guaita,13.0,es ESP,GK,35-236,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
14,14 Players,,,,,990,23,17,16,5,2,10,14,71.4,4,20,11,9,13,36,36,0
