,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
,Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
0,Alexandre Lacazette,9.0,fr FRA,FW,26-185,45,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0
1,Olivier Giroud,12.0,fr FRA,FW,31-060,45,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
2,Alexis Sánchez,7.0,cl CHI,AM,28-345,72,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,0,0
3,Danny Welbeck,23.0,eng ENG,AM,27-003,18,1,1,0,1,0,0,1,0.0,1,0,0,0,0,1,0,0
4,Mesut Özil,11.0,de GER,AM,29-045,90,0,0,0,0,0,0,0,,0,0,0,0,1,1,2,0
5,Granit Xhaka,29.0,ch SUI,CM,25-063,90,3,3,0,3,0,0,2,0.0,2,0,0,0,0,3,2,0
6,Aaron Ramsey,8.0,wls WAL,CM,26-338,72,1,0,0,1,0,1,1,100.0,0,1,0,1,1,2,0,0
7,Jack Wilshere,10.0,eng ENG,CM,25-332,18,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
8,Sead Kolašinac,31.0,ba BIH,WB,24-162,90,2,2,1,0,1,0,0,,0,1,0,1,0,2,0,0
9,Héctor Bellerín,24.0,es ESP,WB,22-255,90,1,1,0,1,0,0,1,0.0,1,2,0,2,1,2,0,0
10,Nacho Monreal,18.0,es ESP,CB,31-276,90,5,1,0,4,1,2,3,66.7,1,1,0,1,2,7,1,0
11,Shkodran Mustafi,20.0,de GER,CB,25-226,90,4,3,4,0,0,0,0,,0,0,0,0,7,11,3,0
12,Laurent Koscielny,6.0,fr FRA,CB,32-080,90,1,0,1,0,0,1,1,100.0,0,1,1,0,3,4,3,0
13,Petr Čech,33.0,cz CZE,GK,35-193,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
14,14 Players,,,,,990,19,12,7,10,2,4,11,36.4,7,7,1,6,15,34,12,0
