,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
,Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
0,Shane Long,7.0,ie IRL,FW,31-009,78,0,0,0,0,0,0,1,0.0,1,1,0,1,1,1,0,0
1,Manolo Gabbiadini,20.0,it ITA,FW,26-066,12,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
2,Dušan Tadić,11.0,rs SRB,LW,29-072,45,1,0,1,0,0,1,3,33.3,2,0,0,0,0,1,0,0
3,Guido Carrillo,9.0,ar ARG,FW,26-251,45,1,0,0,0,1,0,0,,0,0,0,0,0,1,0,0
4,James Ward-Prowse,16.0,eng ENG,"RM,RW",23-091,90,1,1,1,0,0,0,2,0.0,2,2,0,2,1,2,0,0
5,Steven Davis,8.0,nir NIR,"CM,AM",33-030,90,0,0,0,0,0,0,2,0.0,2,2,0,2,1,1,0,0
6,Pierre Højbjerg,23.0,dk DEN,"CM,DM",22-179,90,2,2,2,0,0,0,2,0.0,2,4,0,4,1,3,1,0
7,Oriol Romeu,14.0,es ESP,DM,26-129,45,1,1,1,0,0,1,1,100.0,0,1,0,1,2,3,2,0
8,Sofiane Boufal,19.0,ma MAR,LM,24-136,45,2,1,1,0,1,0,1,0.0,1,1,0,1,0,2,0,0
9,Ryan Bertrand,21.0,eng ENG,LB,28-179,90,1,1,0,0,1,0,1,0.0,1,1,0,1,1,2,0,0
10,Wesley Hoedt,6.0,nl NED,CB,23-331,90,1,1,1,0,0,1,1,100.0,0,2,0,2,1,2,3,0
11,Jack Stephens,5.0,eng ENG,CB,24-004,90,2,1,2,0,0,0,1,0.0,1,1,0,1,4,6,6,0
12,Cédric Soares,2.0,pt POR,RB,26-153,90,0,0,0,0,0,0,0,,0,2,2,0,0,0,4,0
13,Alex McCarthy,13.0,eng ENG,GK,28-059,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
14,14 Players,,,,,990,12,8,9,0,3,3,16,18.8,13,17,2,15,12,24,16,0
