,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
,Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
0,Aleksandar Mitrović,9.0,rs SRB,FW,24-056,90,1,0,0,1,0,0,0,,0,2,1,1,0,1,1,0
1,Ryan Sessegnon,3.0,eng ENG,"LW,RW",18-177,90,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0
2,André Schürrle,14.0,de GER,"RW,LW",28-005,77,1,1,0,1,0,1,1,100.0,0,1,0,1,0,1,0,0
3,Luciano Vietto,19.0,ar ARG,LW,24-341,13,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
4,Tom Cairney,10.0,sct SCO,AM,27-295,62,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,0
5,Jean Seri,24.0,ci CIV,AM,27-115,28,0,0,0,0,0,0,1,0.0,1,1,1,0,0,0,0,0
6,Calum Chambers,5.0,eng ENG,DM,23-295,90,2,0,1,1,0,1,2,50.0,1,5,0,5,3,5,3,0
7,Andre-Frank Zambo Anguissa,29.0,cm CMR,DM,22-360,83,3,2,2,1,0,0,2,0.0,2,3,2,1,2,5,3,0
8,Stefan Johansen,8.0,no NOR,DM,27-307,7,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
9,Maxime Le Marchand,20.0,fr FRA,LB,29-031,90,5,3,5,0,0,1,3,33.3,2,0,0,0,3,8,4,0
10,Alfie Mawson,26.0,eng ENG,CB,24-296,90,2,1,2,0,0,1,1,100.0,0,2,2,0,2,4,5,0
11,Denis Odoi,4.0,gh GHA,CB,30-168,90,1,1,1,0,0,1,2,50.0,1,0,0,0,2,3,8,0
12,Cyrus Christie,22.0,ie IRL,RB,26-042,90,0,0,0,0,0,0,1,0.0,1,0,0,0,2,2,8,0
13,Sergio Rico,25.0,es ESP,GK,25-071,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
14,14 Players,,,,,990,15,8,11,4,0,5,14,35.7,9,17,7,10,14,29,33,0
