,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
,Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,Aleksandar Mitrović,9.0,rs SRB,FW,24-118,90,0,0,0,1,3,0,0,0,0,0,0,0,4,9,9,50.0
1,Ryan Sessegnon,3.0,eng ENG,LW,18-239,45,0,0,0,0,1,0,0,2,1,0,0,0,5,2,1,66.7
2,Luciano Vietto,19.0,ar ARG,LW,25-038,45,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,100.0
3,André Schürrle,14.0,de GER,RW,28-067,76,0,0,0,0,0,0,7,1,2,0,0,0,2,1,2,33.3
4,Neeskens Kebano,7.0,cd COD,RW,26-308,14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
5,Joe Bryan,23.0,eng ENG,LM,25-117,60,0,0,0,0,0,0,6,1,1,0,0,0,5,1,1,50.0
6,Tom Cairney,10.0,sct SCO,RM,27-357,30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
7,Jean Seri,24.0,ci CIV,CM,27-177,90,0,0,0,1,0,0,7,1,1,0,0,0,7,1,0,100.0
8,Calum Chambers,5.0,eng ENG,"CM,LM",23-357,90,1,0,0,2,0,0,2,2,0,0,0,0,7,3,3,50.0
9,Cyrus Christie,22.0,ie IRL,"RM,RB",26-104,90,1,0,0,1,0,0,6,1,0,0,0,0,11,2,2,50.0
10,Tim Ream,13.0,us USA,CB,31-099,90,0,0,0,1,0,0,0,0,0,0,0,0,5,4,6,40.0
11,Maxime Le Marchand,20.0,fr FRA,"CB,LB",29-093,90,0,0,0,3,0,0,3,5,2,0,0,0,6,3,2,60.0
12,Denis Odoi,4.0,gh GHA,CB,30-230,90,0,0,0,0,0,0,0,0,0,0,0,1,10,3,3,50.0
13,Sergio Rico,25.0,es ESP,GK,25-133,90,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0.0
14,14 Players,,,,,990,2,0,0,9,5,0,33,13,7,0,0,1,67,30,30,50.0
