,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
,Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
0,Christian Benteke,20.0,be BEL,FW,30-023,90,0,0,0,0,0,0,0,,0,1,0,1,0,0,2,0
1,Wilfried Zaha,11.0,ci CIV,"FW,LM",28-046,90,2,1,1,1,0,1,3,33.3,2,0,0,0,0,2,0,0
2,Eberechi Eze,25.0,eng ENG,"LM,CM",22-180,90,1,1,1,0,0,1,3,33.3,2,0,0,0,0,1,0,0
3,James McArthur,18.0,sct SCO,CM,33-080,74,1,0,0,1,0,0,3,0.0,3,1,0,1,0,1,1,0
4,Michy Batshuayi,23.0,be BEL,FW,27-085,16,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
5,Luka Milivojević,4.0,rs SRB,CM,29-263,68,1,1,0,1,0,0,1,0.0,1,0,0,0,1,2,1,0
6,Jaïro Riedewald,44.0,nl NED,CM,24-108,22,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
7,Jeffrey Schlupp,15.0,gh GHA,RM,28-003,81,3,0,2,1,0,2,4,50.0,2,2,2,0,0,3,0,0
8,Andros Townsend,10.0,eng ENG,RM,29-163,9,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
9,Patrick van Aanholt,3.0,nl NED,LB,30-119,90,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,2,0
10,Scott Dann,6.0,eng ENG,CB,33-316,90,0,0,0,0,0,0,0,,0,1,1,0,2,2,0,0
11,Cheikhou Kouyaté,8.0,sn SEN,CB,31-005,90,3,3,3,0,0,2,4,50.0,2,1,1,0,1,4,2,0
12,Joel Ward,2.0,eng ENG,RB,31-058,90,1,1,1,0,0,1,1,100.0,0,6,1,5,2,3,3,0
13,Vicente Guaita,31.0,es ESP,GK,33-351,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
14,14 Players,,,,,990,12,7,8,4,0,7,21,33.3,14,12,5,7,7,19,11,0
