,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
,Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
0,Diego Costa,29.0,es ESP,FW,34-200,88,1,1,1,0,0,1,2,50.0,1,0,0,0,0,1,3,0
1,Nathan Collins,4.0,ie IRL,CB,21-360,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2,Matheus Cunha,12.0,br BRA,FW,23-333,67,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
3,João Gomes,35.0,br BRA,"FW,CM",22-072,23,2,1,2,0,0,1,2,50.0,1,2,1,1,1,3,0,0
4,Matheus Nunes,27.0,pt POR,LM,24-241,88,2,0,2,0,0,0,1,0.0,1,3,0,3,1,3,1,0
5,Pedro Neto,7.0,pt POR,FW,23-047,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
6,Mario Lemina,5.0,ga GAB,CM,29-236,90,2,0,2,0,0,0,2,0.0,2,0,0,0,0,2,2,0
7,Rúben Neves,8.0,pt POR,CM,26-043,90,4,2,2,1,1,2,4,50.0,2,3,1,2,4,8,2,0
8,Hwang Hee-chan,11.0,kr KOR,RM,27-089,78,5,2,1,3,1,1,3,33.3,2,0,0,0,1,6,1,0
9,Adama Traoré,37.0,es ESP,"RM,FW",27-090,12,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
10,Hugo Bueno,64.0,es ESP,LB,20-219,78,2,1,0,1,1,1,2,50.0,1,1,0,1,0,2,4,0
11,Toti Gomes,24.0,pt POR,LB,24-099,12,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
12,Max Kilman,23.0,eng ENG,CB,25-337,90,0,0,0,0,0,0,0,,0,2,2,0,0,0,5,0
13,Craig Dawson,15.0,eng ENG,CB,32-354,90,0,0,0,0,0,0,0,,0,3,2,1,0,0,4,0
14,Nélson Semedo,22.0,pt POR,RB,29-160,90,3,1,2,0,1,1,2,50.0,1,3,0,3,1,4,6,1
15,José Sá,1.0,pt POR,GK,30-098,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
16,16 Players,,,,,990,21,8,12,5,4,7,19,36.8,12,17,6,11,8,29,30,1
