,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
,Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
0,Salomón Rondón,9.0,ve VEN,FW,27-345,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
1,Jay Rodriguez,19.0,eng ENG,LW,28-029,87,2,2,1,1,0,1,3,33.3,2,1,0,1,0,2,3,0
2,Oliver Burke,17.0,sct SCO,LW,20-142,3,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
3,Matt Phillips,10.0,sct SCO,RW,26-167,73,3,2,3,0,0,2,2,100.0,0,1,1,0,0,3,1,0
4,James McClean,14.0,ie IRL,RW,28-127,17,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
5,James Morrison,7.0,sct SCO,AM,31-094,69,1,0,0,1,0,0,2,0.0,2,0,0,0,0,1,0,0
6,Claudio Yacob,5.0,ar ARG,AM,30-040,21,0,0,0,0,0,0,0,,0,3,2,1,0,0,0,0
7,Gareth Barry,18.0,eng ENG,DM,36-185,90,4,3,3,1,0,3,3,100.0,0,0,0,0,0,4,1,0
8,Jake Livermore,8.0,eng ENG,DM,27-286,90,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,2,0
9,Chris Brunt,11.0,nir NIR,LB,32-256,90,2,2,2,0,0,1,2,50.0,1,0,0,0,0,2,4,0
10,Ahmed Hegazi,26.0,eg EGY,CB,26-214,90,1,1,1,0,0,0,1,0.0,1,1,0,1,0,1,6,1
11,Craig Dawson,25.0,eng ENG,CB,27-113,90,0,0,0,0,0,0,1,0.0,1,1,1,0,1,1,4,0
12,Allan Nyom,2.0,cm CMR,RB,29-109,90,4,3,2,2,0,2,2,100.0,0,2,1,1,2,6,3,0
13,Ben Foster,1.0,eng ENG,GK,34-146,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
14,14 Players,,,,,990,17,13,12,5,0,9,19,47.4,10,9,5,4,3,20,25,1
