,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
,Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
0,Aaron Connolly,7.0,ie IRL,FW,20-236,89,1,0,0,1,0,0,0,,0,2,0,2,0,1,0,0
1,Alireza Jahanbakhsh,16.0,ir IRN,"RW,FW",27-040,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2,Neal Maupay,9.0,fr FRA,"LW,FW",24-037,90,1,0,1,0,0,1,2,50.0,1,1,0,1,0,1,1,0
3,Leandro Trossard,11.0,be BEL,"RW,LM,LW",25-291,90,1,0,0,1,0,0,0,,0,0,0,0,2,3,1,0
4,Solly March,20.0,eng ENG,"LM,RM",26-062,77,3,1,1,1,1,0,0,,0,3,0,3,0,3,1,0
5,Adam Lallana,14.0,eng ENG,RM,32-133,13,0,0,0,0,0,0,0,,0,1,0,1,0,0,3,0
6,Steven Alzate,17.0,co COL,"CM,LM",22-012,90,1,1,1,0,0,0,1,0.0,1,1,0,1,0,1,1,0
7,Yves Bissouma,8.0,ml MLI,CM,24-021,88,1,1,1,0,0,1,1,100.0,0,1,0,1,0,1,1,0
8,Tariq Lamptey,2.0,gh GHA,RM,19-356,57,0,0,0,0,0,0,0,,0,0,0,0,4,4,0,0
9,Dan Burn,33.0,eng ENG,LB,28-134,33,0,0,0,0,0,0,0,,0,0,0,0,2,2,0,0
10,Adam Webster,4.0,eng ENG,CB,25-260,90,0,0,0,0,0,0,0,,0,1,0,1,1,1,3,0
11,Lewis Dunk,5.0,eng ENG,CB,28-304,90,0,0,0,0,0,0,0,,0,1,1,0,0,0,7,0
12,Ben White,3.0,eng ENG,"CB,RB",22-348,90,0,0,0,0,0,0,0,,0,1,1,0,2,2,2,0
13,Mathew Ryan,1.0,au AUS,GK,28-165,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
14,14 Players,,,,,988,8,3,4,3,1,2,4,50.0,2,12,2,10,11,19,21,0
